항목 번호,장,통제영역,통제군,통제군명,통제군명(영문),식별자,통제항목명,항목유형,상위항목,C(기밀),S(민감),O(공개)
1,1,권한,LP,최소 권한,Least Privilege,N2SF-LP-1,정보시스템 접근 권한 정의,기본,,●,●,
2,1,권한,LP,최소 권한,Least Privilege,N2SF-LP-2,보안통제 권한 제한,기본,,●,●,●
3,1,권한,LP,최소 권한,Least Privilege,N2SF-LP-3,보안통제 계정 노출 방지,기본,,●,●,●
4,1,권한,LP,최소 권한,Least Privilege,N2SF-LP-4,관리자 권한 제한,기본,,●,●,●
5,1,권한,LP,최소 권한,Least Privilege,N2SF-LP-4(1),원격접속을 통한 관리자 권한 접속제한,세부,N2SF-LP-4,,●,●
6,1,권한,LP,최소 권한,Least Privilege,N2SF-LP-4(2),기관 이외 인원의 관리자 권한 제한,세부,N2SF-LP-4,●,●,●
7,1,권한,LP,최소 권한,Least Privilege,N2SF-LP-4(3),사용자에게 부여된 관리자 권한 관리,세부,N2SF-LP-4,,,
8,1,권한,LP,최소 권한,Least Privilege,N2SF-LP-4(4),관리자 권한 실행 로깅 및 감사,세부,N2SF-LP-4,●,●,●
9,1,권한,LP,최소 권한,Least Privilege,N2SF-LP-5,코드 실행권한 제한,기본,,●,●,●
10,1,권한,LP,최소 권한,Least Privilege,N2SF-LP-M1,특별권한 사용자 지정,관리,,●,●,
11,1,권한,LP,최소 권한,Least Privilege,N2SF-LP-M2,주요 사용자 위험 관리,관리,,●,●,
12,1,권한,LP,최소 권한,Least Privilege,N2SF-LP-M3,접근권한 사전 설정,관리,,●,●,●
13,1,권한,LP,최소 권한,Least Privilege,N2SF-LP-M4,접근권한과 정보 연계,관리,,●,●,●
14,1,권한,IV,신원 검증,Identity Verification,N2SF-IV-1,관리자 승인,기본,,●,●,
15,1,권한,IV,신원 검증,Identity Verification,N2SF-IV-2,신원 증거 제출,기본,,●,●,
16,1,권한,IV,신원 검증,Identity Verification,N2SF-IV-2(1),신원 증거 검증,세부,N2SF-IV-2,●,●,
