식별번호,NC,OS,P,S,TS,해당되는 등급
ISM-0009,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0027,Y,Y,Y,Y,,"NC, OS, P, S"
ISM-0039,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0041,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0042,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0043,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0047,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0072,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0078,,,,Y,Y,"S, TS"
ISM-0100,Y,Y,Y,Y,,"NC, OS, P, S"
ISM-0109,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0120,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0123,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0125,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0133,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0137,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0138,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0140,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0141,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0142,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0161,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0164,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0181,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0187,,,,Y,,S
ISM-0194,,,,,Y,TS
ISM-0195,,,,,Y,TS
ISM-0198,,,,,Y,TS
ISM-0201,,,,,Y,TS
ISM-0206,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0208,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0211,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0213,,,,Y,Y,"S, TS"
ISM-0216,,,,,Y,TS
ISM-0217,,,,,Y,TS
ISM-0218,,,,,Y,TS
ISM-0225,,,,Y,Y,"S, TS"
ISM-0229,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0230,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0231,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0232,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0233,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0235,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0236,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0240,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0245,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0246,,,,Y,Y,"S, TS"
ISM-0249,,,,Y,Y,"S, TS"
ISM-0250,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0252,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0258,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0260,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0261,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0263,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0264,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0267,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0269,,,,Y,Y,"S, TS"
ISM-0270,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0271,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0272,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0280,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0285,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0286,,,,Y,Y,"S, TS"
ISM-0289,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0290,,,,Y,Y,"S, TS"
ISM-0293,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0294,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0296,,,,Y,Y,"S, TS"
ISM-0298,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0300,,,,Y,Y,"S, TS"
ISM-0304,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0305,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-0306,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
