식별번호,통제군,유형,LOW,MODERATE,HIGH,베이스라인 해당여부
ac-1,AC,base,Y,Y,Y,LMH
ac-2,AC,base,Y,Y,Y,LMH
ac-2.1,AC,enhancement,,Y,Y,MH
ac-2.2,AC,enhancement,,Y,Y,MH
ac-2.3,AC,enhancement,,Y,Y,MH
ac-2.4,AC,enhancement,,Y,Y,MH
ac-2.5,AC,enhancement,,Y,Y,MH
ac-2.6,AC,enhancement,,,,none
ac-2.7,AC,enhancement,,,,none
ac-2.8,AC,enhancement,,,,none
ac-2.9,AC,enhancement,,,,none
ac-2.10,AC,enhancement,,,,none
ac-2.11,AC,enhancement,,,Y,H
ac-2.12,AC,enhancement,,,Y,H
ac-2.13,AC,enhancement,,Y,Y,MH
ac-3,AC,base,Y,Y,Y,LMH
ac-3.1,AC,enhancement,,,,none
ac-3.2,AC,enhancement,,,,none
ac-3.3,AC,enhancement,,,,none
ac-3.4,AC,enhancement,,,,none
ac-3.5,AC,enhancement,,,,none
ac-3.6,AC,enhancement,,,,none
ac-3.7,AC,enhancement,,,,none
ac-3.8,AC,enhancement,,,,none
ac-3.9,AC,enhancement,,,,none
ac-3.10,AC,enhancement,,,,none
ac-3.11,AC,enhancement,,,,none
ac-3.12,AC,enhancement,,,,none
ac-3.13,AC,enhancement,,,,none
ac-3.14,AC,enhancement,,,,none
ac-3.15,AC,enhancement,,,,none
ac-4,AC,base,,Y,Y,MH
ac-4.1,AC,enhancement,,,,none
ac-4.2,AC,enhancement,,,,none
ac-4.3,AC,enhancement,,,,none
ac-4.4,AC,enhancement,,,Y,H
ac-4.5,AC,enhancement,,,,none
ac-4.6,AC,enhancement,,,,none
ac-4.7,AC,enhancement,,,,none
ac-4.8,AC,enhancement,,,,none
ac-4.9,AC,enhancement,,,,none
ac-4.10,AC,enhancement,,,,none
ac-4.11,AC,enhancement,,,,none
ac-4.12,AC,enhancement,,,,none
ac-4.13,AC,enhancement,,,,none
ac-4.14,AC,enhancement,,,,none
ac-4.15,AC,enhancement,,,,none
ac-4.16,AC,enhancement,,,,none
ac-4.17,AC,enhancement,,,,none
ac-4.18,AC,enhancement,,,,none
ac-4.19,AC,enhancement,,,,none
ac-4.20,AC,enhancement,,,,none
ac-4.21,AC,enhancement,,,,none
ac-4.22,AC,enhancement,,,,none
ac-4.23,AC,enhancement,,,,none
ac-4.24,AC,enhancement,,,,none
ac-4.25,AC,enhancement,,,,none
ac-4.26,AC,enhancement,,,,none
ac-4.27,AC,enhancement,,,,none
ac-4.28,AC,enhancement,,,,none
ac-4.29,AC,enhancement,,,,none
ac-4.30,AC,enhancement,,,,none
ac-4.31,AC,enhancement,,,,none
ac-4.32,AC,enhancement,,,,none
ac-5,AC,base,,Y,Y,MH
ac-6,AC,base,,Y,Y,MH
ac-6.1,AC,enhancement,,Y,Y,MH
ac-6.2,AC,enhancement,,Y,Y,MH
ac-6.3,AC,enhancement,,,Y,H
ac-6.4,AC,enhancement,,,,none
ac-6.5,AC,enhancement,,Y,Y,MH
ac-6.6,AC,enhancement,,,,none
ac-6.7,AC,enhancement,,Y,Y,MH
ac-6.8,AC,enhancement,,,,none
ac-6.9,AC,enhancement,,Y,Y,MH
ac-6.10,AC,enhancement,,Y,Y,MH
ac-7,AC,base,Y,Y,Y,LMH
ac-7.1,AC,enhancement,,,,none
ac-7.2,AC,enhancement,,,,none
ac-7.3,AC,enhancement,,,,none
ac-7.4,AC,enhancement,,,,none
ac-8,AC,base,Y,Y,Y,LMH
ac-9,AC,base,,,,none
ac-9.1,AC,enhancement,,,,none
ac-9.2,AC,enhancement,,,,none
ac-9.3,AC,enhancement,,,,none
ac-9.4,AC,enhancement,,,,none
ac-10,AC,base,,,Y,H
ac-11,AC,base,,Y,Y,MH
ac-11.1,AC,enhancement,,Y,Y,MH
ac-12,AC,base,,Y,Y,MH
ac-12.1,AC,enhancement,,,,none
ac-12.2,AC,enhancement,,,,none
ac-12.3,AC,enhancement,,,,none
ac-13,AC,base,,,,none
ac-14,AC,base,Y,Y,Y,LMH
ac-14.1,AC,enhancement,,,,none
ac-15,AC,base,,,,none
ac-16,AC,base,,,,none
ac-16.1,AC,enhancement,,,,none
ac-16.2,AC,enhancement,,,,none
ac-16.3,AC,enhancement,,,,none
ac-16.4,AC,enhancement,,,,none
ac-16.5,AC,enhancement,,,,none
ac-16.6,AC,enhancement,,,,none
ac-16.7,AC,enhancement,,,,none
ac-16.8,AC,enhancement,,,,none
ac-16.9,AC,enhancement,,,,none
ac-16.10,AC,enhancement,,,,none
ac-17,AC,base,Y,Y,Y,LMH
ac-17.1,AC,enhancement,,Y,Y,MH
ac-17.2,AC,enhancement,,Y,Y,MH
ac-17.3,AC,enhancement,,Y,Y,MH
ac-17.4,AC,enhancement,,Y,Y,MH
ac-17.5,AC,enhancement,,,,none
ac-17.6,AC,enhancement,,,,none
ac-17.7,AC,enhancement,,,,none
ac-17.8,AC,enhancement,,,,none
ac-17.9,AC,enhancement,,,,none
ac-17.10,AC,enhancement,,,,none
ac-18,AC,base,Y,Y,Y,LMH
ac-18.1,AC,enhancement,,Y,Y,MH
ac-18.2,AC,enhancement,,,,none
ac-18.3,AC,enhancement,,Y,Y,MH
ac-18.4,AC,enhancement,,,Y,H
ac-18.5,AC,enhancement,,,Y,H
ac-19,AC,base,Y,Y,Y,LMH
ac-19.1,AC,enhancement,,,,none
ac-19.2,AC,enhancement,,,,none
ac-19.3,AC,enhancement,,,,none
ac-19.4,AC,enhancement,,,,none
ac-19.5,AC,enhancement,,Y,Y,MH
ac-20,AC,base,Y,Y,Y,LMH
ac-20.1,AC,enhancement,,Y,Y,MH
ac-20.2,AC,enhancement,,Y,Y,MH
ac-20.3,AC,enhancement,,,,none
ac-20.4,AC,enhancement,,,,none
